user_id,email,full_name,signup_date,gender,country,age,education_level,employment_status,interests,marketing_source,is_premium,created_at,updated_at
1,gcruz@example.com,Kayla Kelly,2022-05-06 04:56:24,Female,Wallis and Futuna,25,High School,Employed,"['Arts', 'Business', 'Health', 'Data Science']",partner,False,2022-05-06 04:56:24,2024-02-07 12:13:30
2,cookian@example.org,Lindsay Schmidt,2022-06-16 19:04:12,Male,Mauritius,25,Bachelor,Employed,"['Arts', 'Business', 'Health', 'Data Science']",organic,False,2022-06-16 19:04:12,2023-04-18 21:46:57
3,david11@example.net,Kristen Douglas,2022-05-21 17:35:09,Male,Uganda,40,Bachelor,Unemployed,"['Arts', 'Business', 'Health', 'Data Science']",organic,True,2022-05-21 17:35:09,2022-07-17 00:07:21
4,amy33@example.com,Emily Boyd,2022-05-16 15:30:52,Male,Chile,57,PhD,Retired,"['Arts', 'Business', 'Health', 'Data Science']",email_campaign,False,2022-05-16 15:30:52,2023-02-02 05:39:24
5,wilsonanthony@example.org,Christina Carlson,2022-06-06 09:51:38,Male,Burundi,28,High School,Student,"['Arts', 'Business', 'Health', 'Data Science']",email_campaign,False,2022-06-06 09:51:38,2024-01-22 03:32:59
6,houstoncatherine@example.org,Jessica Ramos,2022-05-30 18:29:51,Male,Kiribati,22,Master,Employed,"['Arts', 'Business', 'Health']",social_media,False,2022-05-30 18:29:51,2023-07-19 04:12:36
7,julie92@example.net,David Williams,2022-05-15 15:04:59,Male,Australia,35,Other,Employed,"['Arts', 'Business', 'Health', 'Data Science']",social_media,False,2022-05-15 15:04:59,2024-02-08 02:01:39
8,osmith@example.net,Kurt Mccoy,2022-06-12 05:09:33,Male,Montserrat,32,Bachelor,Unemployed,"['Arts', 'Business', 'Health', 'Data Science']",email_campaign,False,2022-06-12 05:09:33,2023-07-23 23:44:47
9,hrichmond@example.com,Brittany Ramirez,2022-05-07 14:34:44,Female,Bahrain,62,High School,Student,"['Arts', 'Business', 'Data Science']",social_media,False,2022-05-07 14:34:44,2023-09-12 18:33:39
10,brianlarson@example.net,Yolanda Ward,2022-05-18 08:39:43,Other,Tonga,55,PhD,Unemployed,"['Arts', 'Business', 'Health', 'Data Science']",partner,False,2022-05-18 08:39:43,2023-01-14 18:40:02
